Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,1u,C15849
"C10, C14, C15, C2, C3, C9",0402,6,0.1u,C307331
"C11, C8",0402,2,220p,C1530
C12,0402,1,1u,C52923
"C13, C17, C18, C6",0805,4,22u,C45783
C4,0805,1,10u,C440198
"C5, C7",0402,2,0.1u,C1525
D1,0805,1,Red,C84256
D2,0805,1,Green,C2297
D3,D_SOD-323,1,1N5819WS,
D4,SOD-523_L1.2-W0.8-LS1.6-RD,1,18V,C327501
D6,SMA_L4.3-W2.5-LS5.0-RD,1,SMAJ48A,C353444
KEY2,MLP-14_L2.5-W2.5-P0.50-BL-EP,1,FUSB302BMPX,C132291
L1,IND-SMD_L4.5-W4.5_SMMS0420,1,6.8uH,C133194
"Q1, Q2, Q3, Q4",SOT-23,4,AO3400A,C347475
"R1, R11, R2, R3, R7",0402,5,4k7,C25900
"R10, R19, R20, R9",0402,4,330,C25104
R12,0402,1,100k,C25741
R13,0402,1,22k,C25768
"R14, R15, R17, R18, R4",0402,5,10k,C25744
R22,0402,1,33k,C25779
R23,0402,1,3.3k,C25890
R24,R2512,1,10m,C105366
"R5, R6",0402,2,1k,C11702
U10,SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,1,AO4805,C5183840
U11,SOT-323-3_L2.0-W1.3-P1.30-LS2.1-BR,1,DDTC143EUA,C460045
U2,USB-C_SMD-TYPE-C-31-M-12,1,TYPE-C-31-M-12,C165948
U3,SC-70-6_L2.2-W1.3-P0.65-LS2.1-BL,1,TPD4E1U06DCKR,C194628
"U5, U7",SW-SMD_L3.9-W3.0-P4.45,2,SKRKAEE020,C115357
U8,SOT-23-6,1,TPS54302,C311983
U9,SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,1,INA219AIDR,C138706
