Designator,Mid X,Mid Y,Rotation,Layer
C1,78.8,-107.2,270.0,top
C10,67.7,-118.8,90.0,top
C11,68.8,-121.2,0.0,top
C12,73.4,-119.8,0.0,top
C13,66.2,-119.6,270.0,top
C14,69.2,-100.7,0.0,top
C15,70.4,-98.8,90.0,top
C16,67.5,-124.8,90.0,bottom
C17,66.9,-98.0,270.0,top
C18,68.9,-98.0,270.0,top
C19,65.5,-124.8,90.0,bottom
C2,73.4,-120.8,0.0,top
C3,62.6,-105.1,180.0,top
C4,67.7,-105.8,0.0,top
C5,81.6,-116.009999,270.0,top
C6,72.9,-122.3,180.0,top
C7,70.2,-122.8,0.0,top
C8,68.7,-116.7,180.0,top
C9,78.9,-111.7,270.0,top
D1,85.5,-114.2,90.0,top
D2,87.5,-114.2,90.0,top
D3,94.6,-111.55,270.0,top
D4,80.0,-113.5,90.0,top
D6,94.1,-105.9,90.0,top
J1,84.625,-94.4,90.0,top
J3,101.295,-117.13,90.0,top
KEY2,69.722454,-118.749936,0.0,top
L1,63.5,-101.2,270.0,top
OLED1,71.7,-94.4,270.0,top
Q1,93.8045,-114.95,180.0,top
Q2,93.884,-119.751,180.0,top
Q3,93.8965,-124.816,180.0,top
Q4,93.7745,-129.885,180.0,top
R1,82.1,-99.0,0.0,top
R10,90.919,-118.526,0.0,top
R11,73.4,-116.8,180.0,top
R12,70.7,-101.2,270.0,top
R13,70.7,-103.8,270.0,top
R14,90.8845,-114.505,180.0,top
R15,90.934,-119.536,180.0,top
R17,90.934,-124.616,180.0,top
R18,90.812,-129.696,180.0,top
R19,90.934,-123.616,0.0,top
R2,73.4,-118.8,180.0,top
R20,90.805,-128.68,0.0,top
R22,78.9,-113.6,90.0,top
R23,80.0,-111.2,270.0,top
R24,75.8,-104.7,90.0,top
R3,73.4,-117.8,180.0,top
R4,82.6,-116.0,270.0,top
R5,87.5,-111.9,180.0,top
R6,85.5,-111.9,0.0,top
R7,84.1,-99.0,180.0,top
R9,90.8895,-113.485,180.0,top
U1,78.35,-120.04,180.0,bottom
U10,73.672416,-112.005004,0.0,top
U11,82.0,-113.157861,270.0,top
U2,62.3,-112.0,270.0,top
U3,63.1,-119.15,0.0,top
U4,99.713564,-96.5135,90.0,top
U5,81.6,-120.115088,90.0,top
U7,86.4,-120.1,270.0,top
U8,68.1,-103.0,180.0,top
U9,82.5,-102.2,0.0,top
